ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"180.241.158.221","elite","AS7713","ID","PT. TELKOM INDONESIA","167","N/A","8085","socks4","5102","1","2024-01-08T16:38:48.442Z","81","4479","5539"
"43.241.64.110","elite","AS134033","IN","Mithril Telecommunications Private Limited","181","Mithril Telecommunications Pvt. Ltd.","5678","socks4","1568","1","2024-01-08T16:38:48.629Z","64","3644","5654"
"182.253.159.166","elite","AS17451","ID","BIZNET","163","N/A","5678","socks4","4817","1","2024-01-08T16:38:48.444Z","95","5304","5555"
"103.115.255.1","elite","AS137868","BD","Star Internet Service","186","Md. Murad Hossain Ripon","36331","socks4","4398","1","2024-01-08T16:38:48.445Z","98","5303","5426"
"213.145.134.174","elite","AS12997","KG","OJSC Kyrgyztelecom","111","N/A","3629","socks4","119","1","2024-01-08T16:38:45.537Z","100","1","1"
"103.47.93.203","elite","AS134058","IN","Broban Internet Services Pvt.ltd","258","Broban  PVT Ltd.","1080","socks4","3989","1","2024-01-08T16:38:45.540Z","99","5518","5560"
"104.131.94.90","elite","AS14061","US","DigitalOcean, LLC","97","Digital Ocean","51346","socks5","4485","1","2024-01-08T16:38:45.637Z","100","5418","5432"
"37.75.112.35","elite","AS8926","MD","JSC \"Moldtelecom\" S.A.","93","JSC Moldtelecom S.A.","4153","socks4","4599","1","2024-01-08T16:38:45.541Z","99","5550","5631"
"119.186.69.87","elite","AS4837","CN","CNC Group CHINA169 Shandong Province Network","177","N/A","38801","socks5","5004","1","2024-01-08T16:38:45.533Z","70","3924","5646"
"197.234.13.93","elite","AS36902","SC","Intelvision","198","Intelvision Ltd","4145","socks4","5090","1","2024-01-08T16:38:45.536Z","99","5514","5545"
"67.205.132.249","elite","AS14061","US","DigitalOcean, LLC","85","Digital Ocean","80","socks4","5088","1","2024-01-08T16:38:45.535Z","100","5466","5485"
"45.63.100.155","elite","AS20473","GB","Choopa","9","Vultr Holdings, LLC","10301","socks4","4187","1","2024-01-08T16:38:42.735Z","37","2033","5528"
"14.232.161.29","elite","AS45899","VN","VNPT","200","Vietnam Posts and Telecommunications Group","10801","socks4","4588","1","2024-01-08T16:38:42.740Z","74","4127","5593"
"107.181.161.133","elite","AS46562","US","Performive LLC","145","Total Server Solutions L.L.C","11987","socks4","3715","1","2024-01-08T16:38:42.734Z","98","5463","5558"
"196.43.97.114","elite","AS37183","ZW","AfOL-Zw","198","N/A","5678","socks4","4599","1","2024-01-08T16:38:42.739Z","98","5512","5623"
"179.191.23.38","elite","AS52565","BR","Edgar Rodrigues Romao Filho ME","197","Edgar Rodrigues Romao Filho ME","5678","socks4","4096","1","2024-01-08T16:38:42.733Z","100","5521","5547"
"177.125.204.78","elite","AS262346","BR","FP Telecomunicacoes Ltda","282","FP Telecomunicacoes Ltda","4145","socks4","892","1","2024-01-08T16:38:42.736Z","74","4104","5548"
"27.72.29.7","elite","AS7552","VN","Viettel Group","335","VIETTEL","5678","socks4","4599","1","2024-01-08T16:38:42.732Z","99","5441","5477"
"147.47.224.168","elite","AS9488","KR","SNU","296","N/A","1080","socks4","4809","1","2024-01-08T16:38:40.045Z","97","5468","5631"
"185.162.142.81","elite","AS62013","MD","Societatea Comerciala Click-COM SRL","49","Subscribers Click COM","53281","socks4","4102","1","2024-01-08T16:38:40.145Z","43","2386","5601"
"72.209.45.119","elite","AS22773","US","Cox Communications Inc.","104","Cox Communications","3128","socks4","4489","1","2024-01-08T16:38:40.126Z","100","5563","5575"
"109.73.184.254","elite","AS49924","IT","ECROM-MAIN","58","N/A","5678","socks4","5190","1","2024-01-08T16:38:40.129Z","54","2951","5491"
"104.24.206.207","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","13335","socks4","4684","1","2024-01-08T16:38:40.129Z","100","5465","5465"
"212.69.12.121","elite","AS52116","RS","Orion Telekom Tim d.o.o.Beograd","34","Orion Telekom Tim d.o.o.Beograd","1080","socks4","1688","1","2024-01-08T16:38:40.130Z","100","5544","5559"
"103.199.157.137","elite","AS134318","IN","city broadband network pvt.ltd","142","N/A","41610","socks4","3900","1","2024-01-08T16:38:37.443Z","100","5480","5492"
"138.197.138.160","elite","AS14061","CA","DigitalOcean, LLC","94","DigitalOcean, LLC","10181","socks5","4414","1","2024-01-08T16:38:37.440Z","100","5617","5619"
"193.169.4.184","elite","AS49261","RU","Lekstar Communication Ltd","81","SVS-Telecom Ltd","10801","socks5","4698","1","2024-01-08T16:38:37.442Z","98","5469","5554"
"213.16.81.147","elite","AS12301","HU","Invitech ICT Services Kft.","52","SzerSzoft","5678","socks4","4200","1","2024-01-08T16:38:37.531Z","99","5626","5666"
"47.114.81.218","elite","AS37963","CN","Addresses CNNIC","291","Aliyun Computing Co., LTD","8060","socks4","4107","1","2024-01-08T16:38:35.235Z","87","4785","5475"
"1.0.136.7","elite","AS23969","TH","TOT Public Company Limited","189","TOT Public Company Limited","4145","socks4","3893","1","2024-01-08T16:38:35.146Z","58","3191","5509"
"103.86.1.34","elite","AS136371","IN","Airwir Technologies Private Limited","205","Airwir Technologies Private Limited","4145","socks4","4785","1","2024-01-08T16:38:35.230Z","100","5520","5532"
"38.127.172.95","elite","AS174","US","Cogent Communications","90","Torlandia Trading SRL","46656","socks5","4506","1","2024-01-08T16:38:35.336Z","100","5585","5595"
"181.66.37.143","elite","AS6147","PE","Telefonica del Peru S.A.A.","197","Telefonica del Peru S.A.A","4153","socks4","4199","1","2024-01-08T16:38:35.228Z","64","3603","5596"
"119.29.84.133","elite","AS45090","HK","Shenzhen Tencent Computer Systems Company Limited","288","Tencent cloud computing (Beijing) Co., Ltd.","20806","socks5","5007","1","2024-01-08T16:38:35.144Z","87","4777","5509"
"185.203.220.16","elite","AS211974","ES","Airecom Internet, S.L.","34","Airecom Servers","1080","socks4","5002","1","2024-01-08T16:38:32.433Z","98","5488","5607"
"103.220.42.180","elite","AS55352","IN","Microscan Infocommtech Private Limited","109","HI5 Broadband Services","58456","socks4","4102","1","2024-01-08T16:38:32.430Z","100","5509","5530"
"101.51.105.221","elite","AS23969","TH","TOT Public Company Limited","197","TOT Public Company Limited","4145","socks4","4901","1","2024-01-08T16:38:32.435Z","63","3507","5531"
"104.16.106.65","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks5","3312","1","2024-01-08T16:38:32.432Z","100","5517","5517"
"190.15.252.205","elite","AS27881","AR","Ipnext S.A.","280","Feroglio Julia Elena","3629","socks4","4801","1","2024-01-08T16:38:32.434Z","94","5310","5622"
"61.7.183.24","elite","AS131090","TH","CAT Telecom Public Company Limited","300","National Telecom Public Company Limited","4145","socks4","215","1","2024-01-08T16:38:29.841Z","87","4789","5508"
"183.88.18.60","elite","AS45629","TH","Triple T Broadband Public Company Limited","200","Triple T Broadband Public Company Limited","8080","socks4","2794","1","2024-01-08T16:38:29.840Z","94","5240","5560"
"185.236.46.221","elite","AS50115","UA","TELECOMTRADE","57","N/A","5678","socks4","596","1","2024-01-08T16:38:29.837Z","93","5241","5625"
"93.48.228.247","elite","AS12874","IT","Fastweb SpA","99","Fastweb Internet NGA","4153","socks4","4798","1","2024-01-08T16:38:29.838Z","100","5632","5642"
"138.0.207.18","elite","AS264556","BR","L. Garcia Comunicações ME","298","Marcos de Oliveira Dorta - ME","38328","socks4","4993","1","2024-01-08T16:38:29.835Z","98","5486","5615"
"176.36.138.238","elite","AS39608","UA","Lanet Network","80","Lanet Network Ltd","1080","socks4","4915","1","2024-01-08T16:38:27.139Z","98","5349","5482"
"198.199.122.10","elite","AS14061","US","DigitalOcean, LLC","87","DigitalOcean, LLC","3128","socks4","4405","1","2024-01-08T16:38:27.028Z","97","5368","5533"
"110.78.149.221","elite","AS131090","TH","CAT-BB","203","N/A","4145","socks4","3204","1","2024-01-08T16:38:26.945Z","81","4523","5590"
"66.42.92.212","elite","AS20473","US","The Constant Company","95","Vultr Holdings, LLC","9999","socks4","3897","1","2024-01-08T16:38:26.944Z","71","3891","5506"
"172.67.253.69","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks4","4885","1","2024-01-08T16:38:24.237Z","100","5579","5580"
"37.152.163.238","elite","AS198569","IR","Rahanet Zanjan Co. (Private Joint-Stock)","127","Rahanet Zanjan Co.","4153","socks4","5113","2","2024-01-08T16:38:24.239Z","95","5266","5564"
"217.115.213.186","elite","AS9050","RO","Orange Romania Communication S.A","42","Orange Romania Communications","4145","socks4","4803","1","2024-01-08T16:38:24.336Z","99","5412","5451"
"166.62.88.163","elite","AS398101","US","GoDaddy.com, LLC","139","GoDaddy.com, LLC","45842","socks4","161","1","2024-01-08T16:38:24.238Z","100","1","1"
"43.157.42.203","elite","AS132203","DE","Shenzhen Tencent Computer Systems Company Limited","12","Tencent Cloud Computing","443","socks4","2389","1","2024-01-08T16:38:24.335Z","52","2891","5533"
"110.34.166.183","elite","AS45652","SG","VPLS-SIN","329","Vpls Sin1","4153","socks4","2008","1","2024-01-08T16:38:24.236Z","99","5559","5610"
"177.184.67.77","elite","AS52898","BR","Multipla Serviços Inteligentes","226","Multipla Serviços Inteligentes","4145","socks4","2790","1","2024-01-08T16:38:24.241Z","70","3945","5628"
"104.129.205.9","elite","AS22616","US","ZSCALER, INC.","93","Zscaler, Inc.","10297","socks5","4408","1","2024-01-08T16:38:21.440Z","94","5241","5586"
"47.98.183.59","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","294","Aliyun Computing Co., LTD","37963","socks4","96","1","2024-01-08T16:38:21.445Z","88","4894","5545"
"157.245.62.1","elite","AS14061","SG","DigitalOcean, LLC","190","DigitalOcean, LLC","9050","socks4","3209","1","2024-01-08T16:38:21.527Z","100","5567","5583"
"174.75.211.221","elite","AS22773","US","Cox Communications Inc.","149","Cox Communications","4145","socks4","4500","1","2024-01-08T16:38:21.441Z","42","2345","5524"
"157.230.177.47","elite","AS14061","US","DigitalOcean, LLC","97","DigitalOcean, LLC","7497","socks5","3417","1","2024-01-08T16:38:21.443Z","82","4505","5488"
"188.169.142.196","elite","AS35805","GE","JSC \"Silknet\"","192","UTG MPLS DSL","4145","socks4","3588","1","2024-01-08T16:38:21.446Z","98","5327","5424"
"103.119.229.130","elite","AS64315","ID","PT MITRA VISIONER PRATAMA","190","PT MITRA VISIONER SOLUSINDO","80","socks4","4803","1","2024-01-08T16:38:19.028Z","96","5385","5610"
"5.135.191.18","elite","AS16276","FR","OVH SAS","6","OVH","9100","socks5","4001","1","2024-01-08T16:38:19.030Z","99","5442","5492"
"202.44.224.76","elite","AS4618","TH","Internet Thailand Company Ltd","182","Internet Thailand Company Limited","4153","socks4","5091","1","2024-01-08T16:38:19.033Z","58","3223","5600"
"154.117.212.18","elite","AS327799","BI","2G+3G+4G","202","N/A","5678","socks4","4592","1","2024-01-08T16:38:19.032Z","99","5417","5497"
"202.141.233.166","elite","AS9260","PK","Multinet Broadband","112","Multinet Broadband","48995","socks4","4103","1","2024-01-08T16:38:19.031Z","85","4743","5556"
"195.209.188.101","elite","AS49505","RU","OOO \"Network of data-centers \"Selectel\"","43","Qwarta LLC","58543","socks4","5005","1","2024-01-08T16:38:19.045Z","100","5609","5618"
"1.0.154.228","elite","AS23969","TH","TOT Public Company Limited","192","TOT Public Company Limited","4145","socks4","4900","1","2024-01-08T16:38:16.138Z","56","3056","5474"
"118.174.209.189","elite","AS23969","TH","TOT Public Company Limited","152","TOT Public Company Limited","4145","socks4","1088","1","2024-01-08T16:38:16.132Z","62","3462","5592"
"103.140.88.250","elite","AS9875","ID","PT. Pasifik Satelit Nusantara","889","PT. Weharima Mandiri Utama","5678","socks4","4990","1","2024-01-08T16:38:16.140Z","78","4377","5614"
"185.6.8.108","elite","AS12552","SE","GlobalConnect AB","89","Snapback AB","19427","socks4","4998","1","2024-01-08T16:38:16.239Z","100","5541","5566"
"110.34.166.187","elite","AS45652","SG","VPLS-SIN","243","Vpls Sin1","4153","socks4","1510","1","2024-01-08T16:38:16.131Z","99","5523","5584"
"186.251.255.65","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","201","Seanet Telecom Carazinho Eireli","31337","socks4","4010","1","2024-01-08T16:38:16.133Z","100","5584","5609"
"119.15.90.78","elite","AS24492","KH","WiCAM Corporation Ltd","193","WiCAM Corporation, LTD","5678","socks4","3807","1","2024-01-08T16:38:16.135Z","85","4617","5421"
"95.182.78.7","elite","AS50648","UA","PE UAinet","61","PE UAinet","5678","socks4","4502","1","2024-01-08T16:38:13.436Z","100","5593","5618"
"149.20.253.104","elite","AS18615","US","Mainstream Fiber Networks, LLC","101","Mainstream Fiber Networks, LLC","12551","socks4","3986","1","2024-01-08T16:38:11.131Z","100","5549","5558"
"161.35.179.193","elite","AS14061","US","DigitalOcean, LLC","97","DigitalOcean, LLC","59761","socks5","5196","1","2024-01-08T16:38:11.130Z","99","5452","5483"
"159.75.49.140","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","210","Tencent Cloud Computing (Beijing) Co., Ltd","10808","socks4","2801","1","2024-01-08T16:38:11.027Z","87","4764","5490"
"95.142.40.99","elite","AS210079","RU","EuroByte LLC","51","N/A","42140","socks4","1905","1","2024-01-08T16:38:11.132Z","98","5441","5540"
"183.89.41.115","elite","AS45629","TH","Triple T Broadband Public Company Limited","155","Triple T Broadband Public Company Limited","5678","socks4","5093","1","2024-01-08T16:38:10.845Z","96","5298","5518"
"43.135.154.94","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","154","Tencent Cloud Computing","21127","socks5","4998","1","2024-01-08T16:38:10.931Z","85","4672","5486"
"47.112.157.97","elite","AS37963","CN","Addresses CNNIC","219","Aliyun Computing Co., LTD","8060","socks5","4494","1","2024-01-08T16:38:10.939Z","86","4698","5473"
"165.154.235.178","elite","AS142002","US","Scloud Pte Ltd","185","Scloud Pte Ltd","14200","socks4","304","1","2024-01-08T16:38:10.937Z","60","3357","5580"
"103.107.68.13","elite","AS137292","ID","Intranusa Core Teknologi","187","N/A","5430","socks4","5108","1","2024-01-08T16:38:10.927Z","100","5619","5630"
"198.0.198.132","elite","AS33651","US","Comcast Cable Communications","346","SMX SM PUBLIC ARPRT DIST","54321","socks4","4915","1","2024-01-08T16:38:10.930Z","92","5168","5609"
"110.77.236.112","elite","AS131090","TH","CAT Telecom Public Company Limited","200","CAT BBviaOnnet","4153","socks4","3602","1","2024-01-08T16:38:10.938Z","90","4992","5571"
"72.252.4.49","elite","AS396899","PR","Natural G.C. Inc","194","Columbus Networks USA","4145","socks4","4192","1","2024-01-08T16:38:08.243Z","97","5437","5618"
"213.197.136.218","elite","AS15440","LT","BALTNET","87","N/A","5678","socks4","4010","1","2024-01-08T16:38:08.241Z","100","5466","5468"
"139.59.84.117","elite","AS14061","IN","DIGITALOCEAN","228","DigitalOcean, LLC","52125","socks4","3801","1","2024-01-08T16:38:08.245Z","74","4055","5480"
"190.113.12.75","elite","AS22860","CL","Servicios Internet Ltda","207","TECNOERA-WEBHOSTING","3389","socks5","4213","1","2024-01-08T16:38:08.238Z","100","5572","5593"
"43.229.254.163","elite","AS23679","ID","Media Antar Nusa PT.","172","Nusanet","1080","socks4","3607","1","2024-01-08T16:38:04.530Z","98","5487","5574"
"120.136.21.230","elite","AS131314","CN","China Broadband Communications (Hong Kong) Company Limited","300","Beijing Tian Wei Xin Tong technology corp. limited","10116","socks4","4713","1","2024-01-08T16:38:04.430Z","85","4773","5609"
"59.59.51.74","elite","AS4134","CN","Chinanet","222","Chinanet FJ","8001","socks5","3496","1","2024-01-08T16:38:04.428Z","87","4818","5517"
"111.53.178.249","elite","AS56042","CN","China Mobile communications corporation","284","China Mobile","7302","socks5","4699","1","2024-01-08T16:38:04.431Z","87","4830","5554"
"181.13.142.45","elite","AS7303","AR","Telecom Argentina S.A.","242","Frigorifico Industrial Del Norte SA","5678","socks4","3604","2","2024-01-08T16:38:01.333Z","96","5363","5601"
"173.249.15.6","elite","AS51167","DE","Contabo GmbH","19","Contabo GmbH","63982","socks5","2712","1","2024-01-08T16:38:01.431Z","100","5521","5547"
"43.134.237.114","elite","AS132203","SG","Aceville Pte.ltd","323","N/A","26322","socks4","4108","1","2024-01-08T16:38:01.330Z","82","4556","5582"
"202.148.5.34","elite","AS9794","ID","PT. Core Mediatech","191","N/A","5678","socks4","4701","1","2024-01-08T16:38:01.334Z","99","5442","5509"
"115.75.99.65","elite","AS7552","VN","VIETELxdsl","253","xDSL Services","4153","socks4","125","1","2024-01-08T16:38:01.332Z","100","1","1"
"206.189.85.92","elite","AS14061","SG","DigitalOcean, LLC","190","DigitalOcean, LLC","7497","socks5","4900","1","2024-01-08T16:38:01.336Z","100","5507","5510"
"5.39.19.154","elite","AS16276","FR","OVH ISP","5","Caunes Sebastien","33427","socks4","4596","1","2024-01-08T16:38:01.432Z","100","5569","5570"
"140.250.150.56","elite","AS4134","CN","Chinanet","199","Chinanet SD","1080","socks4","2308","1","2024-01-08T16:38:01.329Z","79","4379","5534"
"110.78.149.12","elite","AS131090","TH","CAT-BB","207","N/A","4145","socks4","3802","1","2024-01-08T16:37:58.646Z","68","3798","5616"
"199.188.93.163","elite","AS64200","US","Vivid-hosting LLC","188","Vivid-hosting LLC","9000","socks5","3601","1","2024-01-08T16:37:58.644Z","100","5513","5519"
"37.230.154.57","elite","AS198770","RU","Virtual Infrastructures Network","89","N/A","3629","socks4","4811","1","2024-01-08T16:37:58.643Z","100","5572","5575"
"168.227.158.57","elite","AS52898","BR","Multipla Serviços Inteligentes","293","Multipla Serviços Inteligentes","4145","socks4","5011","81","2024-01-08T16:37:58.640Z","99","5488","5554"
"114.4.121.90","elite","AS4761","ID","PT. INDOSAT Tbk","193","IOH B2B","4153","socks4","5016","1","2024-01-08T16:37:58.648Z","100","5579","5605"
"171.5.13.78","elite","AS45629","TH","Triple T Broadband Public Company Limited","190","Triple T Broadband Public Company Limited","4145","socks4","4403","1","2024-01-08T16:37:58.649Z","99","5431","5462"
"103.47.93.206","elite","AS134058","IN","Broban Internet Services Pvt.ltd","300","Broban  PVT Ltd.","1080","socks4","4791","1","2024-01-08T16:37:58.641Z","99","5605","5643"
"102.67.3.210","elite","AS36920","NG","KKON Technologies Ltd","182","Fiberone Broadband","5678","socks4","4602","1","2024-01-08T16:37:56.032Z","78","4362","5573"
"170.246.196.42","elite","AS52974","BR","Henet Telecomunicacoes Ltda","208","Henet Telecomunicacoes Ltda","4153","socks4","3210","1","2024-01-08T16:37:56.031Z","92","5107","5555"
"103.199.97.33","elite","AS45804","IN","New Shivam Cable Network","197","N/A","39825","socks4","5187","1","2024-01-08T16:37:55.945Z","98","5478","5605"
"170.0.54.201","elite","AS264974","BR","Telecom Scae Ltda","210","Telecom Scae Ltda","8080","socks4","5099","1","2024-01-08T16:37:55.945Z","70","3859","5512"
"202.137.17.151","elite","AS9905","ID","LINKNET","330","N/A","5678","socks4","4684","1","2024-01-08T16:37:55.943Z","98","5477","5569"
"159.192.233.69","elite","AS131090","TH","CAT-BB","288","N/A","4145","socks5","4510","1","2024-01-08T16:37:53.043Z","80","4454","5584"
"47.252.4.1","elite","AS45102","US","Alibaba.com LLC","79","ALICLOUD-US","80","socks4","5094","2","2024-01-08T16:37:53.044Z","90","5009","5539"
"222.74.65.84","elite","AS4134","CN","Chinanet","192","Chinanet NM","38051","socks5","5003","1","2024-01-08T16:37:53.050Z","84","4661","5565"
"116.58.232.91","elite","AS131090","TH","CAT Telecom Public Company Limited","207","CAT BB","4145","socks4","4601","1","2024-01-08T16:37:53.127Z","65","3552","5486"
"103.105.55.4","elite","AS136873","ID","PT. Mega Artha Lintas Data","207","N/A","8181","socks5","3701","2","2024-01-08T16:37:53.048Z","99","5457","5536"
"45.126.168.178","elite","AS134014","IN","NET 4 U SERVICES PVT LTD","178","NET 4 U Services PVT LTD","8080","socks4","4308","1","2024-01-08T16:37:50.244Z","98","5382","5495"
"165.225.204.117","elite","AS5511","FR","Orange S.A - Opentransit network","79","ZSCALER","10605","socks4","3307","80","2024-01-08T16:37:50.241Z","99","5469","5537"
"176.227.155.65","elite","AS34471","ES","Free Technologies","47","N/A","9999","socks4","4002","1","2024-01-08T16:37:50.337Z","100","5610","5630"
"162.12.217.4","elite","AS204902","FR","Weelax","183","XIWO","3629","socks4","3597","1","2024-01-08T16:37:50.243Z","99","5516","5597"
"103.90.231.93","elite","AS150698","VN","ONETIDC","197","Onet IDC Company","40797","socks5","4705","1","2024-01-08T16:37:50.240Z","99","5527","5606"
"81.12.104.43","elite","AS42337","IR","Respina Networks & Beyond PJSC","189","Respina Networks","3629","socks4","2287","1","2024-01-08T16:37:47.527Z","91","5103","5616"
"120.29.153.250","elite","AS38758","ID","PT Hipernet Indodata","194","N/A","5678","socks4","4703","1","2024-01-08T16:37:47.446Z","99","5597","5637"
"65.21.150.198","elite","AS24940","FI","Hetzner Online GmbH","100","Hetzner","3068","socks4","5010","1","2024-01-08T16:37:47.541Z","100","5657","5660"
"89.186.1.169","elite","AS39716","PL","Artur Sienkiewicz","46","VIP","5678","socks4","4802","1","2024-01-08T16:37:44.636Z","98","5361","5490"
"45.249.101.1","elite","AS135411","BD","Red Grapes Pte Ltd","299","N/A","56457","socks4","4589","81","2024-01-08T16:37:44.528Z","99","5609","5658"
"201.20.79.18","elite","AS28598","BR","MOB SERVICOS DE TELECOMUNICACOES S.A","195","Betânia Lácteos S/A","5678","socks5","4201","1","2024-01-08T16:37:44.542Z","100","5454","5470"
"27.239.65.23","elite","AS4766","KR","Korea Telecom","274","Kornet","8085","socks4","4498","1","2024-01-08T16:37:44.445Z","100","5512","5524"
"167.71.184.82","elite","AS14061","US","DigitalOcean, LLC","86","DigitalOcean, LLC","37908","socks4","4789","1","2024-01-08T16:37:44.637Z","100","5484","5495"
"49.51.98.98","elite","AS132203","CA","OPHL","94","Tencent cloud computing (Beijing) Co., Ltd.","443","socks4","4791","1","2024-01-08T16:37:44.635Z","35","1943","5562"
"103.132.0.161","elite","AS138276","IN","Typhoon Communication Pvt. Ltd","124","Typhoon Communication Pvt Ltd","5678","socks4","5005","1","2024-01-08T16:37:41.531Z","86","4848","5637"
"211.174.105.26","elite","AS4766","KR","Korea Telecom","271","Netropy","4153","socks4","4514","1","2024-01-08T16:37:41.528Z","100","5610","5631"
"159.192.232.226","elite","AS131090","TH","CAT-BB","213","N/A","52335","socks5","5103","1","2024-01-08T16:37:41.450Z","83","4568","5520"
"117.86.111.68","elite","AS4134","CN","Chinanet","300","Chinanet JS","1080","socks5","4396","1","2024-01-08T16:37:41.530Z","65","3594","5567"
"46.227.37.149","elite","AS51155","PL","Telemedian - TB Telecom","84","Telemedian","1088","socks4","1900","1","2024-01-08T16:37:41.627Z","100","5619","5635"
"103.47.93.25","elite","AS134058","IN","Broban Internet Services Pvt.ltd","267","Broban  PVT Ltd.","1080","socks4","5096","1","2024-01-08T16:37:38.742Z","99","5529","5578"
"1.20.220.79","elite","AS23969","TH","TOT Public Company Limited","152","TOT Mobile Co LTD","4145","socks4","4211","2","2024-01-08T16:37:38.927Z","93","5196","5603"
"14.207.24.72","elite","AS45629","TH","Triple T Broadband Public Company Limited","179","Triple T Broadband Public Company Limited","8080","socks5","803","1","2024-01-08T16:37:38.740Z","89","4958","5543"
"189.203.181.34","elite","AS22884","MX","Total Play Telecomunicaciones SA De CV","134","Total Play Telecomunicaciones SA De CV","1080","socks4","186","82","2024-01-08T16:37:38.745Z","100","1","1"
"85.15.65.70","elite","AS34896","RU","Vostoktelecom Telephone Company Limited Liability Company","149","Vostoktelecom Telephone Company Limited Liability Company","1080","socks5","5100","1","2024-01-08T16:37:38.827Z","84","4632","5527"
"80.229.194.203","elite","AS6871","GB","Plusnet Technologies Ltd","86","PlusNet Plc","4153","socks4","2784","1","2024-01-08T16:37:38.932Z","100","5591","5600"
"46.19.141.98","elite","AS51852","CH","Private Layer INC","18","Private Layer INC","9050","socks4","4687","1","2024-01-08T16:37:38.931Z","100","5544","5553"
"182.111.75.174","elite","AS4134","CN","Chinanet","248","Chinanet JX","20010","socks5","4003","1","2024-01-08T16:37:38.738Z","48","2636","5535"
"31.172.66.166","elite","AS49063","RU","FORNEX","86","Fornex Hosting S.L.","20557","socks4","3394","1","2024-01-08T16:37:38.930Z","86","4813","5572"
"185.171.54.34","elite","AS44285","IR","Shahrad","199","N/A","4153","socks4","4802","1","2024-01-08T16:37:36.147Z","95","5318","5598"
"119.82.242.60","elite","AS24521","ID","Indonesia Network Information Center","192","N/A","4145","socks4","5004","82","2024-01-08T16:37:36.149Z","39","2203","5587"
"1.231.77.174","elite","AS9318","KR","SK Broadband Co Ltd","206","broadNnet","1080","socks4","5003","1","2024-01-08T16:37:36.144Z","100","5597","5612"
"187.210.136.88","elite","AS8151","MX","Uninet S.A. de C.V.","178","UNINET","4153","socks4","4498","1","2024-01-08T16:37:36.141Z","99","5522","5555"
"139.59.58.141","elite","AS14061","IN","DigitalOcean, LLC","228","DigitalOcean, LLC","7497","socks5","3997","2","2024-01-08T16:37:33.235Z","93","5115","5491"
"125.228.77.228","elite","AS3462","TW","Chunghwa Telecom Co., Ltd.","298","Chunghwa Telecom Co. Ltd.","1081","socks4","5094","1","2024-01-08T16:37:33.231Z","99","5531","5586"
"78.29.4.218","elite","AS8369","RU","Intersvyaz-2 JSC","100","Intersvyaz-2 JSC","4145","socks4","4900","2","2024-01-08T16:37:33.427Z","100","5646","5652"
"185.171.54.36","elite","AS44285","IR","Shahrad","200","N/A","4153","socks4","703","1","2024-01-08T16:37:33.242Z","94","5268","5583"
"104.25.194.175","elite","AS13335","CA","Cloudflare, Inc.","80","Cloudflare, Inc.","80","socks5","1404","1","2024-01-08T16:37:33.233Z","100","5480","5481"
"103.235.198.17","elite","AS4007","NP","CCNEP","293","N/A","5678","socks4","3890","1","2024-01-08T16:37:30.435Z","56","3094","5519"
"187.190.113.179","elite","AS22884","MX","Total Play Telecomunicaciones SA De CV","145","Total Play Telecomunicaciones SA De CV","5678","socks5","2317","1","2024-01-08T16:37:30.430Z","99","5499","5556"
"165.22.52.130","elite","AS14061","SG","DigitalOcean, LLC","192","DigitalOcean, LLC","8000","socks4","4703","1","2024-01-08T16:37:30.439Z","85","4727","5541"
"45.56.112.189","elite","AS63949","US","Akamai Technologies, Inc.","97","Linode","7497","socks4","2205","2","2024-01-08T16:37:30.527Z","100","5571","5573"
"82.137.245.31","elite","AS29256","SY","ISP-TARASSUL","56","N/A","5678","socks4","4694","1","2024-01-08T16:37:27.640Z","99","5491","5547"
"216.107.129.135","elite","AS61317","US","Colocation America Corporation","93","Ipxo LLC","10180","socks5","4308","1","2024-01-08T16:37:27.641Z","100","5553","5564"
"178.18.248.104","elite","AS51167","DE","Contabo GmbH","14","Contabo GmbH","49153","socks4","4899","80","2024-01-08T16:37:27.534Z","100","5609","5619"
"91.203.25.28","elite","AS44827","UA","Bravoport","45","Bravoport Ltd","4153","socks4","5001","1","2024-01-08T16:37:27.532Z","81","4522","5556"
"116.197.132.59","elite","AS58369","ID","PT. Fiber Networks Indonesia","197","FIBERNET","8291","socks4","4094","1","2024-01-08T16:37:27.535Z","47","2609","5602"
"187.73.55.66","elite","AS262668","BR","Mar Provedor de Internet Ltda","184","Mar Provedor de Internet Ltda","5678","socks4","4995","1","2024-01-08T16:37:24.835Z","83","4542","5504"
"49.49.74.204","elite","AS45629","TH","Triple T Broadband Public Company Limited","199","Triple T Broadband Public Company Limited","5678","socks4","3599","1","2024-01-08T16:37:24.642Z","99","5472","5540"
"179.107.83.235","elite","AS52545","BR","BJ NET Provedor de Internet Ltda. - ME","281","BJ NET Provedor de Internet Ltda. - ME","5678","socks4","3283","1","2024-01-08T16:37:24.640Z","99","5544","5603"
